 Measured residence time data for different reactors
  Time    Reactor1   Reactor2   Reactor3   Reactor4   Reactor5 
   0.00   0.000000   0.000000   0.000000   0.000000   0.000000  
   1.00   0.000003   0.000000   0.000000   0.000000   0.000002  
   2.00   0.000162   0.000000   0.000000   0.000000   0.000026  
   3.00   0.001004   0.000000   0.000000   0.000000   0.000098  
   4.00   0.003241   0.000000   0.000000   0.000000   0.000242  
   5.00   0.007582   0.000001   0.000000   0.000000   0.000478  
   6.00   0.014625   0.000004   0.000000   0.000000   0.000824  
   7.00   0.024724   0.000015   0.000000   0.000000   0.001293  
   8.00   0.037699   0.000044   0.000000   0.000000   0.001900  
   9.00   0.052952   0.000109   0.000001   0.000000   0.002653  
  10.00   0.069703   0.000235   0.000002   0.000000   0.003564  
  11.00   0.087132   0.000459   0.000004   0.000000   0.004637  
  12.00   0.104481   0.000828   0.000007   0.000000   0.005880  
  13.00   0.121094   0.001396   0.000014   0.000000   0.007296  
  14.00   0.136447   0.002221   0.000024   0.000000   0.008888  
  15.00   0.150149   0.003362   0.000039   0.000000   0.010658  
  16.00   0.161932   0.004875   0.000063   0.000000   0.012607  
  17.00   0.171645   0.006812   0.000097   0.000000   0.014735  
  18.00   0.179230   0.009210   0.000145   0.000000   0.017042  
  19.00   0.184708   0.012097   0.000210   0.000000   0.019510  
  20.00   0.188162   0.015486   0.000298   0.000000   0.022112  
  21.00   0.189719   0.019374   0.000413   0.000001   0.024820  
  22.00   0.189539   0.023742   0.000562   0.000002   0.027611  
  23.00   0.187803   0.028557   0.000749   0.000003   0.030463  
  24.00   0.184701   0.033774   0.000982   0.000005   0.033358  
  25.00   0.180427   0.039336   0.001266   0.000009   0.036277  
  26.00   0.175168   0.045177   0.001610   0.000014   0.039206  
  27.00   0.169108   0.051224   0.002021   0.000022   0.042131  
  28.00   0.162415   0.057401   0.002504   0.000033   0.045040  
  29.00   0.155246   0.063627   0.003068   0.000048   0.047922  
  30.00   0.147742   0.069827   0.003718   0.000068   0.050768  
  31.00   0.140030   0.075922   0.004461   0.000093   0.053570  
  32.00   0.132218   0.081841   0.005303   0.000126   0.056320  
  33.00   0.124404   0.087518   0.006248   0.000168   0.059012  
  34.00   0.116667   0.092892   0.007302   0.000218   0.061642  
  35.00   0.109075   0.097910   0.008468   0.000279   0.064204  
  36.00   0.101685   0.102528   0.009750   0.000351   0.066694  
  37.00   0.094539   0.106710   0.011149   0.000435   0.069110  
  38.00   0.087672   0.110425   0.012666   0.000533   0.071449  
  39.00   0.081109   0.113655   0.014303   0.000644   0.073709  
  40.00   0.074869   0.116386   0.016059   0.000771   0.075888  
  41.00   0.068961   0.118612   0.017932   0.000913   0.077986  
  42.00   0.063391   0.120334   0.019920   0.001071   0.080001  
  43.00   0.058160   0.121560   0.022020   0.001245   0.081933  
  44.00   0.053264   0.122303   0.024229   0.001436   0.083783  
  45.00   0.048696   0.122578   0.026541   0.001644   0.085549  
  46.00   0.044447   0.122408   0.028951   0.001868   0.087234  
  47.00   0.040505   0.121816   0.031452   0.002110   0.088837  
  48.00   0.036858   0.120829   0.034039   0.002367   0.090359  
  49.00   0.033492   0.119476   0.036704   0.002641   0.091802  
  50.00   0.030393   0.117787   0.039440   0.002930   0.093166  
  51.00   0.027544   0.115793   0.042237   0.003235   0.094452  
  52.00   0.024932   0.113526   0.045087   0.003555   0.095663  
  53.00   0.022541   0.111016   0.047982   0.003889   0.096800  
  54.00   0.020356   0.108294   0.050913   0.004236   0.097864  
  55.00   0.018363   0.105391   0.053870   0.004597   0.098857  
  56.00   0.016548   0.102334   0.056844   0.004969   0.099780  
  57.00   0.014897   0.099151   0.059826   0.005353   0.100636  
  58.00   0.013398   0.095870   0.062806   0.005747   0.101425  
  59.00   0.012039   0.092513   0.065776   0.006150   0.102151  
  60.00   0.010808   0.089105   0.068727   0.006563   0.102814  
  61.00   0.009695   0.085666   0.071649   0.006983   0.103417  
  62.00   0.008689   0.082216   0.074535   0.007411   0.103960  
  63.00   0.007781   0.078772   0.077376   0.007844   0.104447  
  64.00   0.006963   0.075351   0.080164   0.008283   0.104879  
  65.00   0.006226   0.071966   0.082892   0.008727   0.105258  
  66.00   0.005564   0.068632   0.085553   0.009174   0.105585  
  67.00   0.004968   0.065357   0.088139   0.009624   0.105862  
  68.00   0.004433   0.062153   0.090645   0.010076   0.106091  
  69.00   0.003954   0.059027   0.093065   0.010529   0.106274  
  70.00   0.003524   0.055987   0.095394   0.010983   0.106412  
  71.00   0.003139   0.053037   0.097626   0.011437   0.106507  
  72.00   0.002794   0.050183   0.099757   0.011890   0.106561  
  73.00   0.002486   0.047428   0.101783   0.012341   0.106574  
  74.00   0.002210   0.044775   0.103701   0.012790   0.106550  
  75.00   0.001965   0.042224   0.105508   0.013237   0.106489  
  76.00   0.001745   0.039778   0.107202   0.013680   0.106392  
  77.00   0.001549   0.037436   0.108779   0.014119   0.106261  
  78.00   0.001375   0.035197   0.110239   0.014554   0.106099  
  79.00   0.001220   0.033062   0.111581   0.014984   0.105905  
  80.00   0.001081   0.031028   0.112803   0.015409   0.105681  
  81.00   0.000958   0.029094   0.113905   0.015828   0.105429  
  82.00   0.000849   0.027257   0.114888   0.016241   0.105149  
  83.00   0.000752   0.025515   0.115751   0.016648   0.104844  
  84.00   0.000665   0.023866   0.116496   0.017047   0.104514  
  85.00   0.000589   0.022306   0.117123   0.017440   0.104160  
  86.00   0.000521   0.020832   0.117634   0.017825   0.103784  
  87.00   0.000460   0.019442   0.118030   0.018203   0.103387  
  88.00   0.000407   0.018132   0.118314   0.018572   0.102969  
  89.00   0.000360   0.016899   0.118487   0.018934   0.102532  
  90.00   0.000318   0.015739   0.118552   0.019287   0.102076  
  91.00   0.000280   0.014650   0.118512   0.019632   0.101603  
  92.00   0.000247   0.013627   0.118369   0.019968   0.101114  
  93.00   0.000218   0.012669   0.118126   0.020295   0.100609  
  94.00   0.000193   0.011771   0.117786   0.020614   0.100089  
  95.00   0.000170   0.010930   0.117353   0.020923   0.099556  
  96.00   0.000150   0.010144   0.116830   0.021224   0.099009  
  97.00   0.000132   0.009409   0.116220   0.021515   0.098450  
  98.00   0.000116   0.008723   0.115527   0.021798   0.097879  
  99.00   0.000102   0.008083   0.114754   0.022071   0.097298  
 100.00   0.000090   0.007487   0.113905   0.022335   0.096706  
 101.00   0.000079   0.006931   0.112984   0.022590   0.096105  
 102.00   0.000070   0.006413   0.111995   0.022836   0.095495  
 103.00   0.000062   0.005931   0.110940   0.023073   0.094877  
 104.00   0.000054   0.005483   0.109824   0.023300   0.094251  
 105.00   0.000048   0.005067   0.108651   0.023519   0.093618  
 106.00   0.000042   0.004681   0.107423   0.023729   0.092979  
 107.00   0.000037   0.004322   0.106145   0.023930   0.092334  
 108.00   0.000032   0.003989   0.104820   0.024121   0.091683  
 109.00   0.000028   0.003680   0.103452   0.024305   0.091027  
 110.00   0.000025   0.003394   0.102043   0.024479   0.090367  
 111.00   0.000022   0.003129   0.100598   0.024645   0.089702  
 112.00   0.000019   0.002884   0.099120   0.024803   0.089034  
 113.00   0.000017   0.002657   0.097611   0.024952   0.088363  
 114.00   0.000015   0.002447   0.096076   0.025092   0.087689  
 115.00   0.000013   0.002253   0.094517   0.025225   0.087012  
 116.00   0.000011   0.002074   0.092936   0.025350   0.086334  
 117.00   0.000010   0.001908   0.091338   0.025466   0.085653  
 118.00   0.000009   0.001755   0.089724   0.025575   0.084971  
 119.00   0.000008   0.001614   0.088097   0.025677   0.084289  
 120.00   0.000007   0.001484   0.086461   0.025770   0.083605  
 121.00   0.000006   0.001364   0.084816   0.025857   0.082921  
 122.00   0.000005   0.001253   0.083166   0.025936   0.082237  
 123.00   0.000005   0.001151   0.081513   0.026008   0.081553  
 124.00   0.000004   0.001057   0.079860   0.026073   0.080869  
 125.00   0.000004   0.000971   0.078207   0.026131   0.080186  
 126.00   0.000003   0.000891   0.076557   0.026182   0.079503  
 127.00   0.000003   0.000817   0.074913   0.026227   0.078822  
 128.00   0.000002   0.000750   0.073275   0.026265   0.078142  
 129.00   0.000002   0.000688   0.071645   0.026297   0.077463  
 130.00   0.000002   0.000631   0.070025   0.026323   0.076786  
 131.00   0.000002   0.000578   0.068417   0.026343   0.076111  
 132.00   0.000001   0.000530   0.066821   0.026357   0.075438  
 133.00   0.000001   0.000486   0.065240   0.026365   0.074766  
 134.00   0.000001   0.000445   0.063674   0.026367   0.074098  
 135.00   0.000001   0.000408   0.062124   0.026365   0.073431  
 136.00   0.000001   0.000373   0.060591   0.026356   0.072768  
 137.00   0.000001   0.000342   0.059077   0.026343   0.072107  
 138.00   0.000001   0.000313   0.057582   0.026324   0.071449  
 139.00   0.000001   0.000287   0.056107   0.026301   0.070794  
 140.00   0.000000   0.000262   0.054652   0.026273   0.070142  
 141.00   0.000000   0.000240   0.053219   0.026240   0.069493  
 142.00   0.000000   0.000220   0.051809   0.026202   0.068848  
 143.00   0.000000   0.000201   0.050420   0.026161   0.068205  
 144.00   0.000000   0.000184   0.049055   0.026114   0.067567  
 145.00   0.000000   0.000168   0.047713   0.026064   0.066932  
 146.00   0.000000   0.000154   0.046394   0.026010   0.066301  
 147.00   0.000000   0.000140   0.045100   0.025951   0.065673  
 148.00   0.000000   0.000128   0.043830   0.025889   0.065049  
 149.00   0.000000   0.000117   0.042584   0.025824   0.064429  
 150.00   0.000000   0.000107   0.041363   0.025754   0.063813  
 151.00   0.000000   0.000098   0.040166   0.025681   0.063201  
 152.00   0.000000   0.000089   0.038995   0.025605   0.062593  
 153.00   0.000000   0.000082   0.037848   0.025526   0.061989  
 154.00   0.000000   0.000075   0.036726   0.025443   0.061390  
 155.00   0.000000   0.000068   0.035628   0.025358   0.060794  
 156.00   0.000000   0.000062   0.034556   0.025269   0.060203  
 157.00   0.000000   0.000057   0.033507   0.025178   0.059615  
 158.00   0.000000   0.000052   0.032483   0.025084   0.059032  
 159.00   0.000000   0.000047   0.031484   0.024987   0.058454  
 160.00   0.000000   0.000043   0.030508   0.024888   0.057879  
 161.00   0.000000   0.000039   0.029556   0.024787   0.057309  
 162.00   0.000000   0.000036   0.028628   0.024683   0.056744  
 163.00   0.000000   0.000033   0.027723   0.024577   0.056182  
 164.00   0.000000   0.000030   0.026841   0.024468   0.055625  
 165.00   0.000000   0.000027   0.025982   0.024358   0.055073  
 166.00   0.000000   0.000025   0.025145   0.024246   0.054525  
 167.00   0.000000   0.000023   0.024331   0.024131   0.053981  
 168.00   0.000000   0.000021   0.023538   0.024015   0.053442  
 169.00   0.000000   0.000019   0.022767   0.023897   0.052907  
 170.00   0.000000   0.000017   0.022017   0.023778   0.052377  
 171.00   0.000000   0.000016   0.021287   0.023657   0.051850  
 172.00   0.000000   0.000014   0.020579   0.023534   0.051329  
 173.00   0.000000   0.000013   0.019890   0.023410   0.050812  
 174.00   0.000000   0.000012   0.019220   0.023285   0.050299  
 175.00   0.000000   0.000011   0.018570   0.023158   0.049790  
 176.00   0.000000   0.000010   0.017939   0.023030   0.049286  
 177.00   0.000000   0.000009   0.017327   0.022901   0.048787  
 178.00   0.000000   0.000008   0.016733   0.022771   0.048292  
 179.00   0.000000   0.000007   0.016156   0.022640   0.047801  
 180.00   0.000000   0.000007   0.015597   0.022508   0.047314  
 181.00   0.000000   0.000006   0.015054   0.022374   0.046832  
 182.00   0.000000   0.000006   0.014529   0.022240   0.046354  
 183.00   0.000000   0.000005   0.014019   0.022106   0.045881  
 184.00   0.000000   0.000005   0.013525   0.021970   0.045411  
 185.00   0.000000   0.000004   0.013047   0.021834   0.044946  
 186.00   0.000000   0.000004   0.012584   0.021697   0.044485  
 187.00   0.000000   0.000004   0.012135   0.021560   0.044029  
 188.00   0.000000   0.000003   0.011701   0.021421   0.043577  
 189.00   0.000000   0.000003   0.011281   0.021283   0.043128  
 190.00   0.000000   0.000003   0.010874   0.021144   0.042684  
 191.00   0.000000   0.000002   0.010481   0.021005   0.042245  
 192.00   0.000000   0.000002   0.010100   0.020865   0.041809  
 193.00   0.000000   0.000002   0.009732   0.020725   0.041377  
 194.00   0.000000   0.000002   0.009376   0.020585   0.040950  
 195.00   0.000000   0.000002   0.009032   0.020444   0.040526  
 196.00   0.000000   0.000002   0.008699   0.020303   0.040107  
 197.00   0.000000   0.000001   0.008378   0.020162   0.039691  
 198.00   0.000000   0.000001   0.008068   0.020021   0.039280  
 199.00   0.000000   0.000001   0.007768   0.019880   0.038872  
 200.00   0.000000   0.000001   0.007478   0.019739   0.038469  
 201.00   0.000000   0.000001   0.007198   0.019598   0.038069  
 202.00   0.000000   0.000001   0.006928   0.019457   0.037673  
 203.00   0.000000   0.000001   0.006668   0.019316   0.037281  
 204.00   0.000000   0.000001   0.006416   0.019175   0.036893  
 205.00   0.000000   0.000001   0.006173   0.019034   0.036509  
 206.00   0.000000   0.000001   0.005939   0.018893   0.036128  
 207.00   0.000000   0.000001   0.005713   0.018752   0.035751  
 208.00   0.000000   0.000000   0.005495   0.018612   0.035378  
 209.00   0.000000   0.000000   0.005284   0.018472   0.035009  
 210.00   0.000000   0.000000   0.005082   0.018332   0.034643  
 211.00   0.000000   0.000000   0.004886   0.018192   0.034281  
 212.00   0.000000   0.000000   0.004698   0.018053   0.033922  
